tool_tested,persona,num_choices,llm_choice,correct_choice,is_correct
list_saved_queries,tool_explicit,50,list_saved_queries,list_saved_queries,1
list_saved_queries,category_aware,50,list_saved_queries,list_saved_queries,1
run_query,problem_oriented,50,query_database,run_query,0
run_query,function_specific,50,run_query,run_query,1
run_query,goal_oriented,50,run_query,run_query,1
run_query,category_aware,50,run_query,run_query,1
run_query,tool_explicit,50,run_query,run_query,1
run_saved_query,category_aware,50,run_saved_query,run_saved_query,1
run_saved_query,problem_oriented,50,run_saved_query,run_saved_query,1
run_saved_query,goal_oriented,50,run_saved_query,run_saved_query,1
run_saved_query,function_specific,50,run_saved_query,run_saved_query,1
run_saved_query,tool_explicit,50,run_saved_query,run_saved_query,1
get_bedrock_daily_usage_stats,goal_oriented,50,get_bedrock_daily_usage_stats,get_bedrock_daily_usage_stats,1
get_bedrock_daily_usage_stats,problem_oriented,50,get_bedrock_daily_usage_stats,get_bedrock_daily_usage_stats,1
get_bedrock_daily_usage_stats,category_aware,50,get_bedrock_daily_usage_stats,get_bedrock_daily_usage_stats,1
get_bedrock_daily_usage_stats,function_specific,50,get_bedrock_daily_usage_stats,get_bedrock_daily_usage_stats,1
get_bedrock_daily_usage_stats,tool_explicit,50,get_bedrock_daily_usage_stats,get_bedrock_daily_usage_stats,1
get_bedrock_hourly_usage_stats,problem_oriented,50,get_bedrock_hourly_usage_stats,get_bedrock_hourly_usage_stats,1
get_bedrock_hourly_usage_stats,goal_oriented,50,get_bedrock_hourly_usage_stats,get_bedrock_hourly_usage_stats,1
get_bedrock_hourly_usage_stats,category_aware,50,get_bedrock_hourly_usage_stats,get_bedrock_hourly_usage_stats,1
get_bedrock_hourly_usage_stats,function_specific,50,get_bedrock_hourly_usage_stats,get_bedrock_hourly_usage_stats,1
get_bedrock_hourly_usage_stats,tool_explicit,50,get_bedrock_hourly_usage_stats,get_bedrock_hourly_usage_stats,1
get_detailed_breakdown_by_day,problem_oriented,50,get_detailed_breakdown_by_day,get_detailed_breakdown_by_day,1
get_detailed_breakdown_by_day,category_aware,50,get_detailed_breakdown_by_day,get_detailed_breakdown_by_day,1
get_detailed_breakdown_by_day,goal_oriented,50,get_detailed_breakdown_by_day,get_detailed_breakdown_by_day,1
get_detailed_breakdown_by_day,tool_explicit,50,get_detailed_breakdown_by_day,get_detailed_breakdown_by_day,1
get_detailed_breakdown_by_day,function_specific,50,get_detailed_breakdown_by_day,get_detailed_breakdown_by_day,1
get_ec2_spend_last_day,function_specific,50,get_ec2_spend_last_day,get_ec2_spend_last_day,1
get_ec2_spend_last_day,problem_oriented,50,get_ec2_spend_last_day,get_ec2_spend_last_day,1
get_ec2_spend_last_day,goal_oriented,50,get_ec2_spend_last_day,get_ec2_spend_last_day,1
get_ec2_spend_last_day,category_aware,50,get_ec2_spend_last_day,get_ec2_spend_last_day,1
get_ec2_spend_last_day,tool_explicit,50,get_ec2_spend_last_day,get_ec2_spend_last_day,1
retrieve_from_aws_kb,problem_oriented,50,retrieve_from_aws_kb,retrieve_from_aws_kb,1
retrieve_from_aws_kb,goal_oriented,50,retrieve_from_aws_kb,retrieve_from_aws_kb,1
retrieve_from_aws_kb,category_aware,50,retrieve_from_aws_kb,retrieve_from_aws_kb,1
retrieve_from_aws_kb,tool_explicit,50,retrieve_from_aws_kb,retrieve_from_aws_kb,1
retrieve_from_aws_kb,function_specific,50,retrieve_from_aws_kb,retrieve_from_aws_kb,1
aws_resources_query_or_modify,goal_oriented,50,aws_resources_query_or_modify,aws_resources_query_or_modify,1
aws_resources_query_or_modify,problem_oriented,50,aws_resources_query_or_modify,aws_resources_query_or_modify,1
aws_resources_query_or_modify,category_aware,50,aws_resources_query_or_modify,aws_resources_query_or_modify,1
aws_resources_query_or_modify,function_specific,50,aws_resources_query_or_modify,aws_resources_query_or_modify,1
GetObject,problem_oriented,50,GetObject,GetObject,1
GetObject,goal_oriented,50,GetObject,GetObject,1
GetObject,function_specific,50,GetObject,GetObject,1
GetObject,tool_explicit,50,GetObject,GetObject,1
ListBuckets,problem_oriented,50,ListBuckets,ListBuckets,1
aws_resources_query_or_modify,tool_explicit,50,aws_resources_query_or_modify,aws_resources_query_or_modify,1
GetObject,category_aware,50,GetObject,GetObject,1
ListBuckets,goal_oriented,50,ListBuckets,ListBuckets,1
ListBuckets,category_aware,50,ListBuckets,ListBuckets,1
ListObjectsV2,problem_oriented,50,OneDrive,ListObjectsV2,0
ListBuckets,function_specific,50,ListBuckets,ListBuckets,1
ListBuckets,tool_explicit,50,ListBuckets,ListBuckets,1
ListObjectsV2,goal_oriented,50,ListObjectsV2,ListObjectsV2,1
ListObjectsV2,function_specific,50,ListObjectsV2,ListObjectsV2,1
ListObjectsV2,category_aware,50,ListObjectsV2,ListObjectsV2,1
ListObjectsV2,tool_explicit,50,ListObjectsV2,ListObjectsV2,1
extract-web-data,problem_oriented,50,extract-web-data,extract-web-data,1
extract-web-data,goal_oriented,50,extract-web-data,extract-web-data,1
extract-web-data,category_aware,50,extract-web-data,extract-web-data,1
extract-web-data,function_specific,50,extract-web-data,extract-web-data,1
extract-web-data,tool_explicit,50,extract-web-data,extract-web-data,1
airbnb_listing_details,problem_oriented,50,airbnb_listing_details,airbnb_listing_details,1
airbnb_listing_details,function_specific,50,airbnb_listing_details,airbnb_listing_details,1
airbnb_listing_details,tool_explicit,50,airbnb_listing_details,airbnb_listing_details,1
airbnb_listing_details,goal_oriented,50,airbnb_listing_details,airbnb_listing_details,1
airbnb_listing_details,category_aware,50,airbnb_listing_details,airbnb_listing_details,1
airbnb_search,problem_oriented,50,airbnb_search,airbnb_search,1
airbnb_search,function_specific,50,airbnb_search,airbnb_search,1
airbnb_search,goal_oriented,50,airbnb_search,airbnb_search,1
airbnb_search,tool_explicit,50,airbnb_search,airbnb_search,1
Clear DAG Run,problem_oriented,50,Clear DAG Run,Clear DAG Run,1
Clear DAG Run,goal_oriented,50,Clear DAG Run,Clear DAG Run,1
Clear DAG Run,category_aware,50,Clear DAG Run,Clear DAG Run,1
Clear DAG Run,function_specific,50,Clear DAG Run,Clear DAG Run,1
Clear DAG Run,tool_explicit,50,Clear DAG Run,Clear DAG Run,1
Clear Task Instances,problem_oriented,50,Clear Task Instances,Clear Task Instances,1
Clear Task Instances,category_aware,50,Clear Task Instances,Clear Task Instances,1
airbnb_search,category_aware,50,airbnb_search,airbnb_search,1
Clear Task Instances,goal_oriented,50,Clear Task Instances,Clear Task Instances,1
Clear Task Instances,function_specific,50,Clear Task Instances,Clear Task Instances,1
Clear Task Instances,tool_explicit,50,Clear Task Instances,Clear Task Instances,1
Create Connection,problem_oriented,50,Create Connection,Create Connection,1
Create Connection,goal_oriented,50,Create Connection,Create Connection,1
Create Connection,category_aware,50,Create Connection,Create Connection,1
Create Connection,tool_explicit,50,Create Connection,Create Connection,1
Create Connection,function_specific,50,Create Connection,Create Connection,1
Create DAG Run,goal_oriented,50,Create DAG Run,Create DAG Run,1
Create DAG Run,category_aware,50,Create DAG Run,Create DAG Run,1
Create DAG Run,function_specific,50,Create DAG Run,Create DAG Run,1
Create DAG Run,tool_explicit,50,Create DAG Run,Create DAG Run,1
Create Dataset Event,problem_oriented,50,Create Dataset Event,Create Dataset Event,1
Create DAG Run,problem_oriented,50,create_issue,Create DAG Run,0
Create Dataset Event,goal_oriented,50,Create Dataset Event,Create Dataset Event,1
Create Dataset Event,category_aware,50,Create Dataset Event,Create Dataset Event,1
Create Dataset Event,function_specific,50,Create Dataset Event,Create Dataset Event,1
Create Dataset Event,tool_explicit,50,Create Dataset Event,Create Dataset Event,1
Create Pool,problem_oriented,50,search_with_bing,Create Pool,0
Create Pool,goal_oriented,50,Create Pool,Create Pool,1
Create Pool,category_aware,50,Create Pool,Create Pool,1
Create Pool,function_specific,50,Create Pool,Create Pool,1
Create Variable,problem_oriented,50,Memory (Short-Term),Create Variable,0
Create Pool,tool_explicit,50,Create Pool,Create Pool,1
Create Variable,goal_oriented,50,Create Variable,Create Variable,1
Create Variable,function_specific,50,Create Variable,Create Variable,1
Create Variable,tool_explicit,50,Create Variable,Create Variable,1
Delete Connection,problem_oriented,50,Delete Connection,Delete Connection,1
Create Variable,category_aware,50,Create Variable,Create Variable,1
Delete Connection,goal_oriented,50,Delete Connection,Delete Connection,1
Delete Connection,tool_explicit,50,Delete Connection,Delete Connection,1
Delete Connection,category_aware,50,Delete Connection,Delete Connection,1
Delete Connection,function_specific,50,Delete Connection,Delete Connection,1
Delete DAG,goal_oriented,50,Delete DAG,Delete DAG,1
Delete DAG,category_aware,50,Delete DAG,Delete DAG,1
Delete DAG,function_specific,50,Delete DAG,Delete DAG,1
Delete DAG,problem_oriented,50,Delete DAG,Delete DAG,1
Delete DAG,tool_explicit,50,Delete DAG,Delete DAG,1
Delete DAG Dataset Queued Event,category_aware,50,Delete DAG Dataset Queued Event,Delete DAG Dataset Queued Event,1
Delete DAG Dataset Queued Event,goal_oriented,50,Delete DAG Dataset Queued Event,Delete DAG Dataset Queued Event,1
Delete DAG Dataset Queued Event,function_specific,50,Delete DAG Dataset Queued Event,Delete DAG Dataset Queued Event,1
Delete DAG Dataset Queued Event,problem_oriented,50,Delete DAG Dataset Queued Event,Delete DAG Dataset Queued Event,1
Delete DAG Dataset Queued Events,problem_oriented,50,delete_index,Delete DAG Dataset Queued Events,0
Delete DAG Dataset Queued Event,tool_explicit,50,Delete DAG Dataset Queued Event,Delete DAG Dataset Queued Event,1
Delete DAG Dataset Queued Events,goal_oriented,50,Delete DAG Dataset Queued Events,Delete DAG Dataset Queued Events,1
Delete DAG Dataset Queued Events,category_aware,50,Delete DAG Dataset Queued Events,Delete DAG Dataset Queued Events,1
Delete DAG Run,problem_oriented,50,Delete DAG Run,Delete DAG Run,1
Delete DAG Dataset Queued Events,function_specific,50,Delete DAG Dataset Queued Events,Delete DAG Dataset Queued Events,1
Delete DAG Dataset Queued Events,tool_explicit,50,Delete DAG Dataset Queued Events,Delete DAG Dataset Queued Events,1
Delete DAG Run,category_aware,50,Delete DAG Run,Delete DAG Run,1
Delete DAG Run,goal_oriented,50,Delete DAG Run,Delete DAG Run,1
Delete DAG Run,function_specific,50,Delete DAG Run,Delete DAG Run,1
Delete DAG Run,tool_explicit,50,Delete DAG Run,Delete DAG Run,1
Delete Dataset Queued Events,goal_oriented,50,Delete Dataset Queued Events,Delete Dataset Queued Events,1
Delete Dataset Queued Events,problem_oriented,50,Delete Dataset Queued Events,Delete Dataset Queued Events,1
Delete Dataset Queued Events,category_aware,50,Delete Dataset Queued Events,Delete Dataset Queued Events,1
Delete Dataset Queued Events,function_specific,50,Delete Dataset Queued Events,Delete Dataset Queued Events,1
Delete Pool,problem_oriented,50,Delete Pool,Delete Pool,1
Delete Pool,goal_oriented,50,Delete Pool,Delete Pool,1
Delete Dataset Queued Events,tool_explicit,50,Delete Dataset Queued Events,Delete Dataset Queued Events,1
Delete Variable,problem_oriented,50,delete_asset,Delete Variable,0
Delete Pool,function_specific,50,Delete Pool,Delete Pool,1
Delete Pool,tool_explicit,50,Delete Pool,Delete Pool,1
Delete Variable,goal_oriented,50,Delete Variable,Delete Variable,1
Delete Variable,category_aware,50,Delete Variable,Delete Variable,1
Delete Variable,function_specific,50,Delete Variable,Delete Variable,1
Delete Variable,tool_explicit,50,Delete Variable,Delete Variable,1
Get Config,problem_oriented,50,get_config,Get Config,0
Get Config,goal_oriented,50,Get Config,Get Config,1
Delete Pool,category_aware,50,Delete Pool,Delete Pool,1
Get Config,function_specific,50,Get Config,Get Config,1
Get Config,category_aware,50,Get Config,Get Config,1
Get Config,tool_explicit,50,Get Config,Get Config,1
Get Connection,problem_oriented,50,Get Connection,Get Connection,1
Get Connection,category_aware,50,Get Connection,Get Connection,1
Get Connection,function_specific,50,Get Connection,Get Connection,1
Get DAG Dataset Queued Event,problem_oriented,50,Get DAG Dataset Queued Event,Get DAG Dataset Queued Event,1
Get Connection,tool_explicit,50,Get Connection,Get Connection,1
Get DAG Dataset Queued Event,goal_oriented,50,Get DAG Dataset Queued Event,Get DAG Dataset Queued Event,1
Get DAG Dataset Queued Event,category_aware,50,Get DAG Dataset Queued Event,Get DAG Dataset Queued Event,1
Get Connection,goal_oriented,50,Get Connection,Get Connection,1
Get DAG Dataset Queued Event,tool_explicit,50,Get DAG Dataset Queued Event,Get DAG Dataset Queued Event,1
Get DAG Dataset Queued Event,function_specific,50,Get DAG Dataset Queued Event,Get DAG Dataset Queued Event,1
Get DAG Dataset Queued Events,problem_oriented,50,Get DAG Dataset Queued Events,Get DAG Dataset Queued Events,1
Get DAG Dataset Queued Events,function_specific,50,Get DAG Dataset Queued Events,Get DAG Dataset Queued Events,1
Get DAG Dataset Queued Events,goal_oriented,50,Get DAG Dataset Queued Events,Get DAG Dataset Queued Events,1
Get DAG Dataset Queued Events,category_aware,50,Get DAG Dataset Queued Events,Get DAG Dataset Queued Events,1
Get DAG Details,goal_oriented,50,list_automations,Get DAG Details,0
Get DAG Dataset Queued Events,tool_explicit,50,Get DAG Dataset Queued Events,Get DAG Dataset Queued Events,1
Get DAG Details,problem_oriented,50,Playground,Get DAG Details,0
Get DAG Details,category_aware,50,Get DAG Details,Get DAG Details,1
Get DAG Details,function_specific,50,Get DAG Details,Get DAG Details,1
Get DAG Details,tool_explicit,50,Get DAG Details,Get DAG Details,1
Get DAG Run Details,problem_oriented,50,Get DAG Run Details,Get DAG Run Details,1
Get DAG Run Details,goal_oriented,50,Get DAG Run Details,Get DAG Run Details,1
Get DAG Run Details,category_aware,50,Get DAG Run Details,Get DAG Run Details,1
Get DAG Run Details,tool_explicit,50,Get DAG Run Details,Get DAG Run Details,1
Get DAG Run Details,function_specific,50,Get DAG Run Details,Get DAG Run Details,1
Get DAG Runs Batch,goal_oriented,50,Get DAG Runs Batch,Get DAG Runs Batch,1
Get DAG Runs Batch,function_specific,50,Get DAG Runs Batch,Get DAG Runs Batch,1
Get DAG Runs Batch,category_aware,50,Get DAG Runs Batch,Get DAG Runs Batch,1
Get DAG Runs Batch,problem_oriented,50,list_jobs,Get DAG Runs Batch,0
Get DAG Runs Batch,tool_explicit,50,Get DAG Runs Batch,Get DAG Runs Batch,1
